,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,d23,d42,d34,d37,d91,d48,d55,d77,d64,d62,d59,d69,d72,d52,d2,d14,d98,d43,d6,d5,H,H
11,4.0,0.0,0.0,16.0,0.0,10.0,23.0,8.0,0.0,5.0,26.0,0.0,0.0,62.0,9.0,3.0,132.0,30.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
12,5.0,0.0,0.0,11.0,1.0,26.0,19.0,5.0,0.0,3.0,29.0,0.0,0.0,32.0,3.0,9.0,118.0,36.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
1,5.0,0.0,0.0,9.0,0.0,14.0,12.0,6.0,2.0,4.0,35.0,0.0,0.0,50.0,21.0,4.0,118.0,25.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0
2,8.0,0.0,0.0,11.0,0.0,12.0,12.0,13.0,1.0,7.0,24.0,0.0,0.0,38.0,7.0,2.0,116.0,30.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
3,8.0,0.0,0.0,7.0,0.0,16.0,12.0,12.0,2.0,5.0,23.0,0.0,0.0,43.0,9.0,6.0,124.0,18.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
4,3.0,0.0,0.0,10.0,0.0,28.0,26.0,12.0,0.0,5.0,13.0,0.0,0.0,36.0,11.0,7.0,159.0,31.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0
5,8.0,0.0,0.0,8.0,0.0,21.0,18.0,8.0,0.0,5.0,14.0,0.0,0.0,40.0,9.0,5.0,184.0,22.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0
6,4.0,0.0,0.0,17.0,0.0,27.0,12.0,10.0,0.0,10.0,14.0,0.0,0.0,42.0,11.0,6.0,185.0,25.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0
7,5.0,0.0,0.0,15.0,0.0,20.0,10.0,16.0,0.0,11.0,21.0,0.0,0.0,36.0,16.0,1.0,175.0,37.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
8,3.0,0.0,0.0,6.0,1.0,25.0,24.0,8.0,0.0,11.0,30.0,0.0,0.0,34.0,13.0,7.0,188.0,29.0,53.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
9,6.0,0.0,0.0,24.0,0.0,17.0,15.0,8.0,0.0,8.0,28.0,0.0,0.0,33.0,17.0,7.0,167.0,39.0,57.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0
10,6.0,0.0,0.0,21.0,0.0,30.0,17.0,11.0,0.0,7.0,25.0,0.0,0.0,47.0,24.0,10.0,191.0,26.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0
11,7.0,0.0,0.0,19.0,0.0,18.0,27.0,12.0,1.0,5.0,18.0,0.0,0.0,48.0,8.0,4.0,143.0,30.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,1.0,0.0,0.0,19.0,0.0,24.0,25.0,12.0,2.0,6.0,25.0,0.0,0.0,63.0,10.0,2.0,158.0,37.0,54.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0
1,8.0,0.0,0.0,29.0,0.0,14.0,15.0,5.0,1.0,7.0,12.0,0.0,0.0,88.0,12.0,7.0,139.0,29.0,26.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0
2,11.0,0.0,0.0,20.0,0.0,16.0,29.0,11.0,1.0,9.0,11.0,0.0,0.0,86.0,12.0,4.0,143.0,25.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
3,6.0,0.0,0.0,14.0,0.0,18.0,14.0,15.0,5.0,7.0,12.0,0.0,0.0,107.0,5.0,8.0,182.0,44.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
4,4.0,0.0,0.0,5.0,0.0,15.0,23.0,5.0,2.0,6.0,28.0,0.0,0.0,60.0,6.0,4.0,129.0,60.0,39.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
5,1.0,0.0,0.0,14.0,0.0,22.0,17.0,4.0,0.0,2.0,20.0,0.0,0.0,66.0,3.0,3.0,159.0,41.0,31.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
